Region/Subregion or Country of Birth,2000,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Sierra Leone,"20,831", - , - , - ,"32,467","34,935","33,066","38,564","37,559","41,171","42,065","38,101"
Australia,"60,965","65,886","70,889","76,129","70,842","71,535","68,517","84,534","78,797","84,368","83,573","93,179"
Fiji, - , - , - , - ,"36,954","39,277","40,897","39,966","38,782","43,309","41,936","43,406"
Bahamas,"28,273", - , - , - ,"30,301","31,602","34,319","31,903","31,403","31,812","34,796","33,163"
Barbados,"52,172","55,113","55,693","49,265","49,567","52,829","49,922","51,849","52,499","51,378","51,739","54,374"
Cuba,"872,716","935,865","983,454","974,657","991,385","1,104,679","1,094,811","1,113,901","1,144,024","1,172,899","1,210,674","1,271,618"
Dominica,"17,163", - , - , - ,"32,717","28,540","30,369","23,436","31,222","28,163","32,370","31,220"
Dominican Republic,"687,677","766,570","755,539","771,910","793,285","879,187","897,263","957,376","991,046","997,734","1,063,239","1,085,321"
Grenada,"29,986", - , - , - ,"34,145","29,110","28,437","35,271","32,820","34,184","29,982","36,056"
Haiti,"419,317","509,875","530,897","534,969","538,582","587,149","592,260","606,365","593,980","628,003","675,546","668,223"
Jamaica,"553,827","631,374","597,940","636,589","651,177","659,771","696,990","680,845","714,743","705,804","711,134","736,303"
St. Vincent and the Grenadines,"21,540", - , - , - ,"18,343","23,088","22,061","23,218","23,868","23,075","22,950","19,897"
Trinidad and Tobago,"197,398","231,515","225,528","225,242","221,067","229,926","225,115","239,536","232,026","220,234","227,295","242,661"
West Indies, - , - , - , - ,"33,723","31,781","32,100","30,260","31,055","25,804","33,011","28,044"
Mexico,"9,177,487","11,541,404","11,738,537","11,412,668","11,478,413","11,711,103","11,672,619","11,563,374","11,584,977","11,714,489","11,643,298","11,573,680"
Belize, - , - , - , - ,"48,567","47,197","45,556","47,437","50,296","48,368","48,811","48,918"
Costa Rica,"71,870","81,342","85,605","81,038","86,343","81,933","78,111","76,678","78,659","83,337","90,109","85,133"
El Salvador,"817,336","1,047,124","1,104,390","1,094,993","1,149,895","1,214,049","1,264,743","1,271,859","1,252,067","1,315,474","1,352,357","1,387,022"
Guatemala,"480,665","720,901","700,567","739,254","798,682","830,824","850,882","858,530","902,293","915,595","927,593","935,707"
Honduras,"282,852","405,258","430,504","460,197","467,943","522,581","490,636","521,682","533,598","588,301","599,030","651,059"
Nicaragua,"220,335","235,734","230,902","238,224","253,250","247,593","241,649","258,400","240,619","255,233","256,171","243,024"
Panama,"105,177","95,684","102,158","96,128","103,774","99,419","103,689","103,269","101,024","107,299","103,625","94,958"
Argentina,"125,218","165,850","172,736","160,218","163,791","171,534","162,875","176,094","170,086","184,956","181,233","189,126"
Bolivia,"53,278","73,394","70,219","71,491","74,024","78,900","76,626","71,850","79,924","80,650","78,093","79,461"
Brazil,"212,428","342,555","338,853","332,632","359,149","339,613","329,861","325,547","337,040","335,608","361,374","409,595"
Chile,"80,804","89,060","85,057","91,590","87,607","91,172","97,337","88,290","97,585","94,089","95,104","93,647"
Colombia,"509,872","592,436","604,527","600,226","609,845","636,555","658,667","677,068","677,231","706,826","699,399","704,587"
Ecuador,"298,626","384,677","406,907","412,676","411,826","443,173","435,476","420,910","427,906","423,576","441,257","439,123"
Guyana,"211,189","250,178","242,667","258,096","245,596","265,271","259,036","260,268","259,815","273,019","281,408","266,368"
Peru,"278,186","382,153","401,129","384,923","406,910","428,547","411,829","426,263","440,292","448,750","445,921","427,445"
Uruguay,"24,176","49,517","50,578","46,855","42,695","50,176","44,544","45,065","43,541","52,516","43,971","42,181"
Venezuela,"107,031","162,524","155,492","168,592","157,819","184,039","189,219","194,287","197,724","216,187","255,520","290,224"
Canada,"820,771","846,913","830,388","818,920","814,965","798,649","786,317","800,985","840,192","806,387","830,628","783,206"
