Year,2000,2006,2006,2007,2007,2008,2008,2009,2009,2010,2010,2011,2011,2012,2012,2013,2013,2014,2014,2015,2015,2016,2016
Region/Subregion or Country of Birth,Estimate,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error
Belarus," 38,503 ", - ,, - ,, - ,," 62,183 "," +/-6,179 "," 56,217 "," +/-5,168 "," 56,618 "," +/-6,560 "," 49,823 "," +/-4,653 "," 50,934 "," +/-4,856 ","56,791","  +/-4,394 ","56,958","+/-5,339","62,514","+/-5,034"
Bulgaria," 34,949 ", - ,, - ,, - ,," 53,516 "," +/-6,038 "," 62,684 "," +/-5,998 "," 65,202 "," +/-6,925 "," 64,964 "," +/-5,978 "," 67,941 "," +/-5,481 ","63,318","  +/-4,789 ","67,377","+/-5,183","70,800","+/-6,263"
Croatia," 39,138 "," 44,198 "," +/-4,450 "," 44,416 "," +/-4,858 "," 45,607 "," +/-5,033 "," 44,474 "," +/-4,002 "," 47,740 "," +/-5,086 "," 41,484 "," +/-4,426 "," 45,295 "," +/-4,805 "," 39,026 "," +/-4,200 ","43,067","  +/-4,527 ","36,978","+/-3,546","39,747","+/-3,469"
Czechoslovakia (inc. Czech Republic and Slovakia)," 83,081 "," 77,187 "," +/-5,222 "," 77,670 "," +/-5,871 "," 76,906 "," +/-4,928 "," 67,340 "," +/-5,771 "," 71,755 "," +/-7,055 "," 72,905 "," +/-5,713 "," 66,367 "," +/-4,672 "," 64,354 "," +/-4,412 ","68,928","  +/-4,973 ","66,631","+/-5,112","65,982","+/-4,243"
Hungary," 92,017 "," 84,070 "," +/-5,036 "," 79,047 "," +/-5,947 "," 80,333 "," +/-5,084 "," 77,799 "," +/-4,464 "," 78,368 "," +/-6,067 "," 77,485 "," +/-5,294 "," 69,154 "," +/-3,845 "," 74,213 "," +/-5,284 ","65,845","  +/-4,121 ","70,255","+/-5,330","62,296","+/-3,747"
Latvia," 27,521 ", - ,, - ,, - ,," 26,281 "," +/-3,411 "," 23,218 "," +/-2,896 "," 22,257 "," +/-2,742 "," 24,131 "," +/-2,119 "," 24,497 "," +/-2,936 ","21,097","  +/-2,871 ","21,364","+/-2,476","24,691","+/-2,652"
Lithuania," 27,905 ", - ,, - ,, - ,," 36,160 "," +/-4,182 "," 33,888 "," +/-4,229 "," 36,303 "," +/-4,860 "," 37,158 "," +/-4,154 "," 35,514 "," +/-3,701 ","38,186","  +/-4,647 ","31,458","+/-3,872","33,640","+/-4,415"
Macedonia," 19,397 ", - ,, - ,, - ,," 25,429 "," +/-3,832 "," 26,759 "," +/-4,571 "," 25,981 "," +/-4,154 "," 26,321 "," +/-4,919 "," 20,237 "," +/-3,741 ","28,140","  +/-5,040 ","26,277","+/-4,621","26,171","+/-3,967"
Moldova," 21,701 ", - ,, - ,, - ,," 39,122 "," +/-6,073 "," 33,659 "," +/-5,341 "," 34,152 "," +/-4,109 "," 41,340 "," +/-6,397 "," 34,913 "," +/-3,767 ","41,193","  +/-4,450 ","43,564","+/-5,058","42,403","+/-4,950"
Poland," 466,742 "," 499,702 "," +/-17,246 "," 484,777 "," +/-14,091 "," 478,569 "," +/-16,864 "," 443,173 "," +/-16,259 "," 475,503 "," +/-15,578 "," 461,618 "," +/-16,979 "," 440,312 "," +/-16,126 "," 432,601 "," +/-15,565 ","424,460","  +/-13,795 ","419,332","+/-12,547","424,928","+/-15,467"
